;name;year;runtme;genre;ratng;metascore;tmelne;votes;base;gross
0;The Shawshank Redempton;1994;142;Drama;9.3;80;Two mprsoned men bond over a number of years, fndng solace and eventual redempton through acts of common decency.;2,394,059;28,34; R$ 28.340.000,00 
1;The Godfather;1972;175;Crme, Drama;9.2;100;An organzed crme dynasty's agng patrarch transfers control of hs clandestne empre to hs reluctant son.;1,658,439;134,97; R$ 134.970.000,00 
3;The Dark Knght;2008;152;Acton, Crme, Drama;9.0;84;When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychologcal and physcal tests of hs ablty to fght njustce.;2,355,907;534,86; R$ 534.860.000,00 
4;The Godfather: Part ;1974;202;Crme, Drama;9.0;90;The early lfe and career of Vto Corleone n 1920s New York Cty s portrayed, whle hs son, Mchael, expands and tghtens hs grp on the famly crme syndcate.;1,152,912;57,3; R$ 57.300.000,00 
5;12 Angry Men;1957;96;Crme, Drama;9.0;96;A jury holdout attempts to prevent a mscarrage of justce by forcng hs colleagues to reconsder the evdence.;706,079;4,36; R$ 4.360.000,00 
6;The Lord of the Rngs: The Return of the Kng;2003;201;Acton, Adventure, Drama;8.9;94;Gandalf and Aragorn lead the World of Men aganst Sauron's army to draw hs gaze from Frodo and Sam as they approach Mount Doom wth the One Rng.;1,672,460;377,85; R$ 377.850.000,00 
7;Pulp Fcton;1994;154;Crme, Drama;8.9;94;The lves of two mob htmen, a boxer, a gangster and hs wfe, and a par of dner bandts ntertwne n four tales of volence and redempton.;1,862,472;107,93; R$ 107.930.000,00 
8;Schndler's Lst;1993;195;Bography, Drama, Hstory;8.9;94;n German-occuped Poland durng World War , ndustralst Oskar Schndler gradually becomes concerned for hs Jewsh workforce after wtnessng ther persecuton by the Nazs.;1,236,213;96,9; R$ 96.900.000,00 
9;ncepton;2010;148;Acton, Adventure, Sc-F;8.8;74;A thef who steals corporate secrets through the use of dream-sharng technology s gven the nverse task of plantng an dea nto the mnd of a C.E.O.;2,113,984;292,58; R$ 292.580.000,00 
10;Fght Club;1999;139;Drama;8.8;66;An nsomnac offce worker and a devl-may-care soap maker form an underground fght club that evolves nto much more.;1,892,181;37,03; R$ 37.030.000,00 
11;The Lord of the Rngs: The Fellowshp of the Rng;2001;178;Acton, Adventure, Drama;8.8;92;A meek Hobbt from the Shre and eght companons set out on a journey to destroy the powerful One Rng and save Mddle-earth from the Dark Lord Sauron.;1,693,187;315,54; R$ 315.540.000,00 
12;Forrest Gump;1994;142;Drama, Romance;8.8;82;The presdences of Kennedy and Johnson, the Vetnam War, the Watergate scandal and other hstorcal events unfold from the perspectve of an Alabama man wth an Q of 75, whose only desre s to be reunted wth hs chldhood sweetheart.;1,851,357;330,25; R$ 330.250.000,00 
13;The Good, the Bad and the Ugly;1966;178;Western;8.8;90;A bounty huntng scam jons two men n an uneasy allance aganst a thrd n a race to fnd a fortune n gold bured n a remote cemetery.;700,347;6,1; R$ 6.100.000,00 
14;The Lord of the Rngs: The Two Towers;2002;179;Acton, Adventure, Drama;8.7;87;Whle Frodo and Sam edge closer to Mordor wth the help of the shfty Gollum, the dvded fellowshp makes a stand aganst Sauron's new ally, Saruman, and hs hordes of sengard.;1,512,442;342,55; R$ 342.550.000,00 
15;The Matrx;1999;136;Acton, Sc-F;8.7;73;When a beautful stranger leads computer hacker Neo to a forbddng underworld, he dscovers the shockng truth--the lfe he knows s the elaborate decepton of an evl cyber-ntellgence.;1,710,438;171,48; R$ 171.480.000,00 
16;Goodfellas;1990;146;Bography, Crme, Drama;8.7;90;The story of Henry Hll and hs lfe n the mob, coverng hs relatonshp wth hs wfe Karen Hll and hs mob partners Jmmy Conway and Tommy DeVto n the talan-Amercan crme syndcate.;1,042,578;46,84; R$ 46.840.000,00 
17;Star Wars: Epsode V - The Empre Strkes Back;1980;124;Acton, Adventure, Fantasy;8.7;82;After the Rebels are brutally overpowered by the Empre on the ce planet Hoth, Luke Skywalker begns Jedtranng wth Yoda, whle hs frends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.;1,178,844;290,48; R$ 290.480.000,00 
18;One Flew Over the Cuckoo's Nest;1975;133;Drama;8.7;84;A crmnal pleads nsanty and s admtted to a mental nsttuton, where he rebels aganst the oppressve nurse and ralles up the scared patents.;933,318;112; R$ 112.000.000,00 
19;Paraste;2019;132;Comedy, Drama, Thrller;8.6;96;Greed and class dscrmnaton threaten the newly formed symbotc relatonshp between the wealthy Park famly and the desttute Km clan.;608,406;53,37; R$ 53.370.000,00 
20;nterstellar;2014;169;Adventure, Drama, Sc-F;8.6;74;A team of explorers travel through a wormhole n space n an attempt to ensure humanty's survval.;1,558,558;188,02; R$ 188.020.000,00 
21;Cty of God;2002;130;Crme, Drama;8.6;79;n the slums of Ro, two kds' paths dverge as one struggles to become a photographer and the other a kngpn.;709,284;7,56; R$ 7.560.000,00 
22;Sprted Away;2001;125;Anmaton, Adventure, Famly;8.6;96;Durng her famly's move to the suburbs, a sullen 10-year-old grl wanders nto a world ruled by gods, wtches, and sprts, and where humans are changed nto beasts.;670,674;10,06; R$ 10.060.000,00 
23;Savng Prvate Ryan;1998;169;Drama, War;8.6;91;Followng the Normandy Landngs, a group of U.S. solders go behnd enemy lnes to retreve a paratrooper whose brothers have been klled n acton.;1,262,408;216,54; R$ 216.540.000,00 
24;The Green Mle;1999;189;Crme, Drama, Fantasy;8.6;61;The lves of guards on Death Row are affected by one of ther charges: a black man accused of chld murder and rape, yet who has a mysterous gft.;1,173,460;136,8; R$ 136.800.000,00 
25;Lfe s Beautful;1997;116;Comedy, Drama, Romance;8.6;59;When an open-mnded Jewsh lbraran and hs son become vctms of the Holocaust, he uses a perfect mxture of wll, humor, and magnaton to protect hs son from the dangers around ther camp.;636,745;57,6; R$ 57.600.000,00 
26;Se7en;1995;127;Crme, Drama, Mystery;8.6;65;Two detectves, a rooke and a veteran, hunt a seral kller who uses the seven deadly sns as hs motves.;1,477,013;100,13; R$ 100.130.000,00 
27;The Slence of the Lambs;1991;118;Crme, Drama, Thrller;8.6;85;A young F.B.. cadet must receve the help of an ncarcerated and manpulatve cannbal kller to help catch another seral kller, a madman who skns hs vctms.;1,298,483;130,74; R$ 130.740.000,00 
28;Star Wars: Epsode V - A New Hope;1977;121;Acton, Adventure, Fantasy;8.6;90;Luke Skywalker jons forces wth a JedKnght, a cocky plot, a Wookee and two drods to save the galaxy from the Empre's world-destroyng battle staton, whle also attemptng to rescue Prncess Lea from the mysterous Darth Vader.;1,250,920;322,74; R$ 322.740.000,00 
30;Seven Samura;1954;207;Acton, Adventure, Drama;8.6;98;A poor vllage under attack by bandts recruts seven unemployed samurato help them defend themselves.;321,308;0,27; R$ 270.000,00 
34;Whplash;2014;106;Drama, Musc;8.5;88;A promsng young drummer enrolls at a cut-throat musc conservatory where hs dreams of greatness are mentored by an nstructor who wll stop at nothng to realze a student's potental.;738,672;13,09; R$ 13.090.000,00 
