NAME;RATING;GROSS
The Shawshank Redempton;93;28340000
The Godfather;92;134970000
The Dark Knght;90;534860000
The Godfather: Part ;90;57300000
12 Angry Men;90;4360000
The Lord of the Rngs: The Return of the Kng;89;377850000
Pulp Fcton;89;107930000
Schndler's Lst;89;96900000
ncepton;88;292580000
Fght Club;88;37030000
The Lord of the Rngs: The Fellowshp of the Rng;88;315540000
Forrest Gump;88;330250000
The Good the Bad and the Ugly;88;6100000
The Lord of the Rngs: The Two Towers;87;342550000
The Matrx;87;171480000
Goodfellas;87;46840000
Star Wars: Epsode V - The Empre Strkes Back;87;290480000
One Flew Over the Cuckoo's Nest;87;112000000
Paraste;86;53370000
nterstellar;86;188020000
Cty of God;86;7560000
Sprted Away;86;10060000
Savng Prvate Ryan;86;216540000
The Green Mle;86;136800000
Lfe s Beautful;86;57600000
Se7en;86;100130000
The Slence of the Lambs;86;130740000
Star Wars: Epsode V - A New Hope;86;322740000
Seven Samura;86;270000
Whplash;85;13090000
The ntouchables;85;13180000
The Prestge;85;53090000
The Departed;85;132380000
The Panst;85;32570000
Gladator;85;187710000
Amercan Hstory X;85;6720000
The Usual Suspects;85;23340000
LÃ©on: The Professonal;85;19500000
The Lon Kng;85;422780000
Termnator 2: Judgment Day;85;204840000
Cnema Paradso;85;11990000
Back to the Future;85;210610000
Once Upon a Tme n the West;85;5320000
Psycho;85;32000000
Rear Wndow;85;36760000
Casablanca;85;1020000
Modern Tmes;85;160000
Cty Lghts;85;20000
CapharnaÃ¼m;84;1660000
Joker;84;335450000
Your Name.;84;5020000
Dangal;84;12390000
Spder-Man: nto the Spder-Verse;84;190240000
Avengers: Endgame;84;858370000
Avengers: nfnty War;84;678820000
Coco;84;209730000
Django Unchaned;84;162810000
The Dark Knght Rses;84;448140000
3 dots;84;6530000
Lke Stars on Earth;84;1220000
WALLÂ·E;84;223810000
The Lves of Others;84;11290000
Oldboy;84;710000
Memento;84;25540000
Prncess Mononoke;84;2380000
Once Upon a Tme n Amerca;84;5320000
ndana Jones and the Raders of the Lost Ark;84;248160000
The Shnng;84;44020000
Apocalypse Now;84;83470000
Alen;84;78900000
Dr. Strangelove or: How Learned to Stop Worryng and Love the Bomb;84;280000
Wtness for the Prosecuton;84;8180000
The Great Dctator;84;290000
Chhchhore;83;900000
1917;83;159230000
The Hunt;83;690000
A Separaton;83;7100000
ncendes;83;6860000
nglourous Basterds;83;120540000
Eternal Sunshne of the Spotless Mnd;83;34400000
AmÃ©le;83;33230000
Snatch;83;30330000
Requem for a Dream;83;3640000
Amercan Beauty;83;130100000
Good Wll Huntng;83;138430000
Chldren of Heaven;83;930000
Toy Story;83;191800000
Braveheart;83;75600000
Reservor Dogs;83;2830000
Full Metal Jacket;83;46360000
Alens;83;85160000
Amadeus;83;51970000
Scarface;83;45600000
Star Wars: Epsode V- Return of the Jed;83;309130000
TaxDrver;83;28260000
The Stng;83;159600000
A Clockwork Orange;83;6210000
2001: A Space Odyssey;83;56950000
Lawrence of Araba;83;44820000
The Apartment;83;18600000
North by Northwest;83;13280000
Vertgo;83;3200000
Sngn' n the Ran;83;8820000
kru;83;60000
Bcycle Theves;83;330000
Double ndemnty;83;5720000
M;83;30000
Metropols;83;1240000
The Kd;83;5450000
Ur: The Surgcal Strke;82;4190000
Andhadhun;82;1370000
Green Book;82;85080000
Talvar;82;340000
Baahubal2: The Concluson;82;20190000
Drshyam;82;740000
Queen;82;1430000
Tangernes;82;140000
Bhaag Mlkha Bhaag;82;1630000
Paan Sngh Tomar;82;40000
ZndagNa MlegDobara;82;3110000
The Secret n Ther Eyes;82;6390000
Shutter sland;82;128010000
Up;82;293000000
The Wolf of Wall Street;82;116900000
Chak De! nda;82;1110000
There Wll Be Blood;82;40220000
Pan's Labyrnth;82;37630000
Toy Story 3;82;415000000
Black;82;730000
Batman Begns;82;206850000
Swades;82;1220000
Howl's Movng Castle;82;4710000
A Beautful Mnd;82;170740000
Lock Stock and Two Smokng Barrels;82;3900000
L.A. Confdental;82;64620000
Heat;82;67440000
Casno;82;42440000
Unforgven;82;101160000
ndana Jones and the Last Crusade;82;197170000
Tme of the Gypses;82;280000
My Neghbor Totoro;82;1110000
De Hard;82;83010000
Ran;82;4140000
Ragng Bull;82;23380000
Monty Python and the Holy Gral;82;1230000
Chnatown;82;8490000
For a Few Dollars More;82;15000000
The Great Escape;82;12100000
Some Lke t Hot;82;25000000
Dal M for Murder;82;10000
Rashomon;82;100000
All About Eve;82;10000
The Treasure of the Serra Madre;82;5010000
The Gold Rush;82;5450000
Sherlock Jr.;82;980000
Portrat of a Lady on Fre;81;3760000
Pnk;81;1240000
Three Bllboards Outsde Ebbng Mssour;81;54510000
The Handmaden;81;2010000
Mommy;81;3490000
Hader;81;900000
Logan;81;226280000
Room;81;14680000
Wld Tales;81;3110000
Wnter Sleep;81;170000
PK;81;10620000
OMG: Oh My God!;81;920000
The Grand Budapest Hotel;81;59100000
Gone Grl;81;167770000
Hacksaw Rdge;81;67210000
nsde Out;81;356460000
Barf!;81;2800000
12 Years a Slave;81;56670000
Rush;81;26950000
Ford v Ferrar;81;117620000
Spotlght;81;45060000
Song of the Sea;81;860000
Kahaan;81;1040000
Udaan;81;10000
Prsoners;81;61000000
Mad Max: Fury Road;81;154060000
Warror;81;13660000
Gran Torno;81;148100000
Harry Potter and the Deathly Hallows: Part 2;81;381010000
Departures;81;1500000
